market,month,high,low
Upper West Side,7/1/12,20750000,218000
Upper West Side,8/1/12,9500000,185000
Upper West Side,9/1/12,13625000,230000
Upper West Side,10/1/12,13720354,192000
Upper West Side,11/1/12,13888888,145000
Upper West Side,12/1/12,32500000,148659
Upper West Side,1/1/13,18800000,229500
Upper West Side,2/1/13,10695000,180000
Upper West Side,3/1/13,16295000,217550
Upper West Side,4/1/13,13000000,162000
Upper West Side,5/1/13,16000000,164775
Upper West Side,6/1/13,21850000,197000
Upper West Side,7/1/13,10550000,250000
Upper West Side,8/1/13,14711621,179000
Upper West Side,9/1/13,6800000,205000
Upper West Side,10/1/13,25000000,260000
Upper West Side,11/1/13,12500000,272500
Upper West Side,12/1/13,33000000,245000
Upper West Side,1/1/14,27500000,280000
Upper West Side,2/1/14,17800000,116610
Upper West Side,3/1/14,30000000,197000
Upper West Side,4/1/14,16000000,240000
Upper West Side,5/1/14,48000000,193000
Upper West Side,6/1/14,13237250,220000
Upper West Side,7/1/14,30002000,193000
Upper West Side,8/1/14,12500000,190000
Upper West Side,9/1/14,15500000,229000
Upper West Side,10/1/14,7600000,225000
Upper West Side,11/1/14,11100000,190000
Upper West Side,12/1/14,13000000,300000
Upper West Side,1/1/15,33000000,248000
Upper West Side,2/1/15,11000000,200000
Upper West Side,3/1/15,16995000,250000
Upper West Side,4/1/15,20750000,240000
Upper West Side,5/1/15,5000000,150000
Upper West Side,6/1/15,11000000,349830
Upper West Side,7/1/15,18500000,190000
Upper West Side,8/1/15,18355000,194500
Upper West Side,9/1/15,18000000,270000
Upper West Side,10/1/15,21000000,265000
Upper West Side,11/1/15,35000000,285000
Upper West Side,12/1/15,19601312,345000
Upper East Side,1/1/10,23980000,142000
Upper East Side,2/1/10,14459150,195000
Upper East Side,3/1/10,21011434,160000
Upper East Side,4/1/10,19600000,229000
Upper East Side,5/1/10,21995500,176000
Upper East Side,6/1/10,22000000,175750
Upper East Side,7/1/10,12000000,199000
Upper East Side,8/1/10,25000000,180000
Upper East Side,9/1/10,13500000,200000
Upper East Side,10/1/10,18500000,200000
Upper East Side,11/1/10,12000000,215000
Upper East Side,12/1/10,29101890,115000
Upper East Side,1/1/11,13500000,220000
Upper East Side,2/1/11,14250000,215000
Upper East Side,3/1/11,11100000,190000
Upper East Side,4/1/11,15900000,190000
Upper East Side,5/1/11,12000000,128000
Upper East Side,6/1/11,20500000,195000
Upper East Side,7/1/11,26750000,214000
Upper East Side,8/1/11,21937500,205000
Upper East Side,9/1/11,34602000,190000
Upper East Side,10/1/11,25000000,200000
Upper East Side,11/1/11,19000000,138000
Upper East Side,12/1/11,11000000,106470
Upper East Side,1/1/12,16000000,140000
Upper East Side,2/1/12,13750000,175000
Upper East Side,3/1/12,27222500,150000
Upper East Side,4/1/12,31500000,80000
Upper East Side,5/1/12,52500000,208000
Upper East Side,6/1/12,27376940,238000
Upper East Side,7/1/12,19500000,221000
Upper East Side,8/1/12,21000000,100000
Upper East Side,9/1/12,13000000,225000
Upper East Side,10/1/12,24000000,215000
Upper East Side,11/1/12,54000000,215000
Upper East Side,12/1/12,50000000,109000
Upper East Side,1/1/13,21000000,225000
Upper East Side,2/1/13,22850000,233854
Upper East Side,3/1/13,17750000,190000
Upper East Side,4/1/13,12500000,160000
Upper East Side,5/1/13,13250000,208000
Upper East Side,6/1/13,23000000,140000
Upper East Side,7/1/13,24000000,225000
Upper East Side,8/1/13,22000000,185000
Upper East Side,9/1/13,18500000,210000
Upper East Side,10/1/13,26000000,205000
Upper East Side,11/1/13,12500000,240000
Upper East Side,12/1/13,22401500,130000
Upper East Side,1/1/14,25529393,215000
Upper East Side,2/1/14,19000000,252000
Upper East Side,3/1/14,17361309,207500
Upper East Side,4/1/14,21892375,210000
Upper East Side,5/1/14,70000000,177500
Upper East Side,6/1/14,16500000,180000
Upper East Side,7/1/14,30900000,155000
Upper East Side,8/1/14,71277500,255000
Upper East Side,9/1/14,14750000,277500
Upper East Side,10/1/14,10000000,249000
Upper East Side,11/1/14,22705312,230000
Upper East Side,12/1/14,20250000,249000
Upper East Side,1/1/15,52000000,230000
Upper East Side,2/1/15,14990000,245000
Upper East Side,3/1/15,23423000,170000
Upper East Side,4/1/15,35136395,235000
Upper East Side,5/1/15,32658763,282000
Upper East Side,6/1/15,22900000,215000
Upper East Side,7/1/15,30000000,275000
Upper East Side,8/1/15,20695000,265000
Upper East Side,9/1/15,9345693,240000
Upper East Side,10/1/15,18583062,235000
Upper East Side,11/1/15,10182500,245000
Upper East Side,12/1/15,12594000,197500
North Brooklyn,1/1/10,977520,293046
North Brooklyn,2/1/10,1527375,287500
North Brooklyn,3/1/10,1307500,220000
North Brooklyn,4/1/10,785352,329550
North Brooklyn,5/1/10,905000,315000
North Brooklyn,6/1/10,1212500,309270
North Brooklyn,7/1/10,1280000,140000
North Brooklyn,8/1/10,1425000,218000
North Brooklyn,9/1/10,1525000,340000
North Brooklyn,10/1/10,935000,338012
North Brooklyn,11/1/10,1069162,294060
North Brooklyn,12/1/10,1578287,222000
North Brooklyn,1/1/11,1527375,295000
North Brooklyn,2/1/11,1884000,335634
North Brooklyn,3/1/11,1649000,329550
North Brooklyn,4/1/11,1250000,304200
North Brooklyn,5/1/11,1800000,190000
North Brooklyn,6/1/11,1350000,338500
North Brooklyn,7/1/11,1650000,314340
North Brooklyn,8/1/11,2850000,324480
North Brooklyn,9/1/11,1678076,295000
North Brooklyn,10/1/11,1450000,93288
North Brooklyn,11/1/11,1749000,296088
North Brooklyn,12/1/11,1600000,305000
North Brooklyn,1/1/12,1198500,303186
North Brooklyn,2/1/12,799325,299000
North Brooklyn,3/1/12,870000,315000
North Brooklyn,4/1/12,2652893,230000
North Brooklyn,5/1/12,2540533,287976
North Brooklyn,6/1/12,2036500,155000
North Brooklyn,7/1/12,1795000,294060
North Brooklyn,8/1/12,2291062,309270
North Brooklyn,9/1/12,2061956,318000
North Brooklyn,10/1/12,1475000,215000
North Brooklyn,11/1/12,1323725,149000
North Brooklyn,12/1/12,1600000,444000
North Brooklyn,1/1/13,2835826,205500
North Brooklyn,2/1/13,2025000,315000
North Brooklyn,3/1/13,2443800,354000
North Brooklyn,4/1/13,2316518,225000
North Brooklyn,5/1/13,3200000,350000
North Brooklyn,6/1/13,2500000,360000
North Brooklyn,7/1/13,3600000,140000
North Brooklyn,8/1/13,2000000,335000
North Brooklyn,9/1/13,1575000,230000
North Brooklyn,10/1/13,2260515,155000
North Brooklyn,11/1/13,2395000,400000
North Brooklyn,12/1/13,1960000,130000
North Brooklyn,1/1/14,1885000,180000
North Brooklyn,2/1/14,2100000,210000
North Brooklyn,3/1/14,2087412,210000
North Brooklyn,4/1/14,2765000,350000
North Brooklyn,5/1/14,2250000,259000
North Brooklyn,6/1/14,2400000,227000
North Brooklyn,7/1/14,1820000,540000
North Brooklyn,8/1/14,1750000,549000
North Brooklyn,9/1/14,2522397,233220
North Brooklyn,10/1/14,2600000,301000
North Brooklyn,11/1/14,2070000,341000
North Brooklyn,12/1/14,3128250,390000
North Brooklyn,1/1/15,3200000,200000
North Brooklyn,2/1/15,2495000,270000
North Brooklyn,3/1/15,1650000,550000
North Brooklyn,4/1/15,2645000,280000
North Brooklyn,5/1/15,3200000,380000
North Brooklyn,6/1/15,2362000,585000
North Brooklyn,7/1/15,2250000,310000
North Brooklyn,8/1/15,2200000,449000
North Brooklyn,9/1/15,1560000,615000
North Brooklyn,10/1/15,3812500,265000
North Brooklyn,11/1/15,2100000,320000
North Brooklyn,12/1/15,1470000,370000
Northwest Brooklyn,1/1/10,2995000,173250
Northwest Brooklyn,2/1/10,3050000,204000
Northwest Brooklyn,3/1/10,3200000,217500
Northwest Brooklyn,4/1/10,4575000,200000
Northwest Brooklyn,5/1/10,1875000,125000
Northwest Brooklyn,6/1/10,5325000,220000
Northwest Brooklyn,7/1/10,6200000,287500
Northwest Brooklyn,8/1/10,4900000,215000
